(Grupo Terrorista, Quantidade de Ataques)
('Kotoko Tribal Group', 2)
('Krause Group', 2)
('Kurdish Protestors', 2)
('Kurdistan National Union', 2)
('Lahij Province of the Islamic State', 2)
('Lashkar-e-Omar', 2)
('League of Communists', 2)
('Libyan Militia', 2)
('Libyan Students', 2)
('M-5', 2)
('M-7', 2)
('Maccabee Squad and the Shield of David', 2)
('Magahat Militia', 2)
('Malaysian Communist Party', 2)
('Manuel Gonzales Patriotic Front', 2)
("Martyr Abu Ja'far Group", 2)
('Martyrs of La Talanguera', 2)
('Maruseido (Marxist Youth League)', 2)
('Mateo Morral Insurrectionist Commandos', 2)
('May 98', 2)
('Mercenaries', 2)
('Militant Peasants (NFI)', 2)
('Miners', 2)
('Modakeke Ethnic Activists', 2)
('Mong Thai Army (MTA)', 2)
('Moro Ghuraba', 2)
('Movement for Democracy and Justice in Chad (MDJT)', 2)
('Movement of Islamic Action of Iraq', 2)
('Movement of the Revolutionary Left (MIR) (Venezuela)', 2)
('Mozambican Rebels', 2)
('Mozambique Liberation Front (FRELIMO)', 2)
('Mujahedeen Corps in Iraq', 2)
('Mutahida Majlis-e-Amal', 2)
('Mwakenya Dissident Movement', 2)
('Naga National Council (NNC)', 2)
('Naga Students Federation', 2)
('National Army for the Liberation of Uganda (NALU)', 2)
('National Committee Against Independence (CNCI)', 2)
('National Committee to Combat Fascism', 2)
('National Democratic Party', 2)
('National Front for the Revolution in Burundi (FRONABU-Tabara)', 2)
('National Independent Committee for Political Prisoners and Persecuted and Missing Persons', 2)
('National League for Democracy', 2)
('National Liberation Army (Peru)', 2)
('National Liberation Union', 2)
('National Socialist Civic Workers Movement', 2)
('National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia (FUNCINPEC)', 2)
('New Order', 2)
('New Partisans Movement', 2)
('New Patriotic Party (NPP)', 2)
('Nicaraguan  Revolutionary Armed Force', 2)
('Nicaraguan Counter Revolutionaries (group unk)', 2)
('Nihilists Faction', 2)
('Odessa Underground', 2)
('Organizacion Democratica Nacionalista (ORDEN)', 2)
('Organization of the Sons of Occupied Territories', 2)
('Organized Crime', 2)
('Pacifist and Ecologist Committee', 2)
('Palestinian Hezbollah', 2)
('Palestinian/Lebanese nationalists', 2)
('Parbatya Chattagram Jana Sanghati Samity (PCJSS) - Bangladesh', 2)
('Patriotic Ginbot 7 Movement for Unity and Democracy (PGMUD)', 2)
('Peasant protesters', 2)
("People's Alliance", 2)
("People's Amn Committee", 2)
("People's Militia of Dagestan", 2)
("People's Revolutionary Organization- Colombia (ORP)", 2)
("People's Tamil Organization", 2)
('Pessach Group', 2)
('Polish', 2)
("Poor People's Party", 2)
('Popular Army Vanguards- Battalions of Return', 2)
('Popular Front for Recovery (FPR)', 2)
('Popular Militia (Chile)', 2)
('Popular Movement for the Liberation of Cabinda', 2)
('Popular Resistance (Laiki Antistasi)', 2)
('Popular Resistance Sabotage Group', 2)
('Popular Revolutionary Commandos', 2)
('Popular Revolutionary Movement (Italy)', 2)
('Professional Killers', 2)
('pro-iranian terrorists', 2)
('Pro-Khasbulaton Rebels', 2)
('Proletarian Action Group', 2)
('Proletarian Combatants for Communism', 2)
('Proletarian Nuclei for Communism', 2)
('Proletarian Revolutionary Action Front (FRAP)', 2)
('pro-pakistani militants', 2)
('Pro-Palestinian Immigrants', 2)
('Puerto Rican Liberation Front', 2)
('Puka Inti Maoist Communist Party', 2)
('Quartermoon Society', 2)
('Rafallah al-Sahati Brigade', 2)
('Rastas', 2)
('Red Army for the Liberation of Catalonia', 2)
('Red Dawn Front (Frente Amanecer Rojo)', 2)
('Red Revolutionary Front', 2)
('Republic of New Afrika', 2)
('Revolutionary Action Front', 2)
('Revolutionary Action Organization of the Arab Resistance Front', 2)
('Revolutionary Anti-Capitalist Initiative', 2)
('Revolutionary Armed Forces (FAR)', 2)
('Revolutionary Army', 2)
('Revolutionary Cells (Argentina)', 2)
('Revolutionary Cells-Animal Liberation Brigade', 2)
('Revolutionary Communist Party', 2)
('Revolutionary Eelam Organization (EROS)', 2)
('Revolutionary Force 26', 2)
('Revolutionary Peoples Army', 2)
('Revolutionary Proletarian Initiative Nuclei (NIPR)', 2)
('Revolutionary Security Apparatus', 2)
('Revolutionary Vanguard', 2)
('Revolutionary Voice of the People (VPR)', 2)
('Right Wing Christian extremists', 2)
('Right-Wing Gunmen', 2)
('Right-Wing Rebel Military Group', 2)
('Right-wing Terrorists', 2)
('Rizvon Sadirov Group', 2)
('Rote Zora', 2)
('Rubicon (Rouvikonas)', 2)
('Russian separatists', 2)
('Rwenzururu Rebels', 2)
('Salafi Abu-Bakr al-Siddiq Army', 2)
('Salvadoran Guerrillas', 2)
('Sanidila Secessionist Movement', 2)
('Saor Eire (Irish Republican Group)', 2)
('Scooter Borne terrorists', 2)
('Scottish Socialist Republican League', 2)
('Secret Army Organization', 2)
('Secret Organization Zero', 2)
('Sekihotai', 2)
('Serbian irregulars', 2)
('Serbian rebels', 2)
('Shabelle Valley militia', 2)
('Shahid Khalsa Force', 2)
('Shamiya Front', 2)
('Shield of Islam Brigade', 2)
('Shiv Sena', 2)
('Shura Council of Mujahideen in Derna', 2)
('Sindh Liberation Front', 2)
('Soldiers of the Caliphate', 2)
('Solidarist Resistance Movement', 2)
('Solidarity with imprisoned members of Action Directe (AD)', 2)
('Somali National Alliance', 2)
('Sons of Liberty', 2)
('South Londonderry Volunteers (SLV)', 2)
('South Sudan Democratic Army', 2)
('Southern Sierra Peasant Organization', 2)
('Squadrons of Terror (Katibat El Ahoual)', 2)
('Struggle Against Misery and Exploitation of Peasants', 2)
('Students for a Democratic Society', 2)
('Supporters of Ali Abdullah Saleh', 2)
('Supporters of leftist Gana-Oikya Front', 2)
('Supporters of the Islamic State in the Land of the Two Holy Mosques', 2)
('Supreme Command for Jihad and Liberation', 2)
('Surinamese Amerindians', 2)
('Syndicalist Action Groups', 2)
('Syrian Mujahideen', 2)
('Syrians', 2)
('SYS', 2)
('Tamil Liberation Army', 2)
('Tanzeem al-Islami al-Furqan', 2)
('Tarok Militia', 2)
('Tawhid and Jihad (Palestine)', 2)
('Tehrik-e-Galba Islam', 2)
('Tehrik-e-Tuhafaz (Pakistan)', 2)
('Telangana Separatists', 2)
('Tepi Youth', 2)
('Terai Cobra', 2)
('Terai Communist Party', 2)
('Terena Indians', 2)
('Tharuhat Joint Struggle Committee (TJSC)', 2)
('The Eradication of Evil', 2)
('The Front for the Liberation of the Cabinda Enclave – Renewed (FLEC)', 2)
('The Scorpion', 2)
('The United Revolutionary Front of Bhutan', 2)
('Timorese guerrillas', 2)
('Tony El Pelou Band', 2)
('Tribal guerrillas', 2)
('Tribal Separatists', 2)
('Tripoli Martyrs Battalion', 2)
('Turkestan Islamic Party', 2)
('Turkish Islamic Jihad', 2)
('Turkish separatists (probably Kurds)', 2)
('Tyrol Separatists', 2)
('U/I Islamic Separatists', 2)
('U/I Liberian Gunmen', 2)
('U/I Snipers', 2)
('U/I Somali Militiamen', 2)
('Ukrainian Insurgent Army', 2)
('Umar al-Mukhtar Martyr Forces', 2)
("Umbane People's Liberation Army (Swaziland)", 2)
('Union members', 2)
('United Democratic Front (UDF)', 2)
('United Liberation Front of Barak Valley (ULFBV) - India', 2)
('United Liberation Movement for Democracy in Liberia (ULIMO)', 2)
('United National Party', 2)
('United Tribal Liberation Army (UTLA)', 2)
('Universal Liberation Front', 2)
('Universal Proutist Revolutionary Federation', 2)
('unknown leftists opposed to summit', 2)
('Urhobo Gbagbako', 2)
('Vanuatu Mobile Force (VMF)', 2)
('Veterans United for Non-Religious Memorials', 2)
('Vietnamese Refugees', 2)
('Vigorous Burmese Student Warriors', 2)
('White Mercenaries', 2)
('Worker Counterpower', 2)
("Workers' Organization for Communism", 2)
('Yakariya Bango Insurgent Group', 2)
('Yarmouk Martyrs Brigade', 2)
('Yatama', 2)
('Young Cuba', 2)
('Youths of Ali Movement', 2)
('Zetas', 2)
("Zimbabwe People's Army (ZIPA)", 2)
('Zomi Revolutionary Army (ZRA)', 2)
('14 March Coalition', 1)
('15th of September Liberation Legion', 1)
('19th of July Christian Resistance Brigade', 1)
('22 May 1948', 1)
('28 February Armed Group', 1)
('28s', 1)
('A Resistance Group', 1)
('Aba Cheali Group', 1)
('Abdul Ghani Kikli Militia', 1)
('Abdul Qader Husseini Battalions of the Free Palestine movement', 1)
('Abu Bakr Unis Jabr Brigade', 1)
('Abu Hassan', 1)
('Abu Jaafar al-Mansur Brigades', 1)
('Abu Musa Group', 1)
("Abu Salim Martyr's Brigade", 1)
('Abu Tira (Central Reserve Forces)', 1)
('Achik National Volunteer Council (ANVC)', 1)
('Achik Tiger Force', 1)
('Achwan-I-Mushbani', 1)
('Action Front Nationalist Librium', 1)
('Action Group for Communism', 1)
('Action Group for the Destruction of the Police State', 1)
('Action Squad', 1)
('Action Struggle Against the World', 1)
('Active Espirit de Corps of the Argentina Army', 1)
('Adivasi Cobra Militants of Assam (ACMA)', 1)
('Afar rebels', 1)
('AFB', 1)
('Afghan Merceneries', 1)
('Afghan Revolutionary Front', 1)
('Afghan War Veterans', 1)
('Afridi Tribe', 1)
('AGEL', 1)
('Aghwar "Fire War" Group', 1)
('Agudat Israel Party', 1)
('Ahmad Alawi al Muqbili', 1)
('Ahmad Jibril', 1)
('Aibed Er-Rahman katibet', 1)
('Aidid Militia', 1)
('Aisha Umm-al Mouemeneen (Brigades of Aisha)', 1)
('Aitarak Militia', 1)
('Akhilesh Singh Gang', 1)
('Al Zawahiri Loyalists', 1)
('Al-Aqsa-Group', 1)
('Albanian exiles', 1)
('Albatros Commando', 1)
('Alcubar group', 1)
("Al-Da'wah Party", 1)
('Alexander Villalon (YADO)', 1)
('Alexandros Grigoropoulos Anarchist Attack Group', 1)
('Alfa 83', 1)
('Al-Fajr', 1)
('Al-Faruq Militia', 1)
('Al-Fatihin Army (AFA)', 1)
('Algerian Mujahideen for Muslims', 1)
('Al-Hamas Mujahideen', 1)
('Al-Haydariyah Battalion', 1)
('Al-Herak Al-Tihami Movement', 1)
('Al-Jihad (Pakistan)', 1)
('Al-Jub Tribe', 1)
('All Ethiopian Unity Party (AEUP)', 1)
('All for the Fatherland Movement', 1)
('All Kamatapur Liberation Force', 1)
('All Karanataka Youth Council', 1)
('All Nepal Free Nationalist Students Union', 1)
('Allende Lives Commando', 1)
('Alliance of Revolutionary Cuban Organizations', 1)
('Allied Democratic Forces of Guinea (RDFG)', 1)
('All-Party Students Union', 1)
('Al-Madani Brigade', 1)
('Al-Marabitun Revolutionary Committee', 1)
('Al-Masni Tribe', 1)
('Al-Mujahedin Brigades (Palestine)', 1)
("Al-Mus'abi Tribe", 1)
('Al-Nawaz', 1)
('Alpha-66 (Cuban counterrevolutionary)', 1)
('Al-Qaida in Lebanon', 1)
('Al-Qaida Organization for Jihad in Sweden', 1)
('Al-Qassam Brigades', 1)
('Al-Saadawi Militia', 1)
('Al-Sawaiq Brigade', 1)
('Al-Sunna wal Jamma', 1)
('Al-Sunni muslim sect', 1)
('Al-Yemenia al-Ulia Tribesmen', 1)
('Al-Zaidi Tribe - Mareb', 1)
("Al-Zintan Revolutionaries' Military Council", 1)
('Amazigh Islamic Front', 1)
('Amazonas Liberation Front', 1)
('American Anticommunist Association (AAA)', 1)
('Amhara tribal group', 1)
('Ana Maria Martinly August 22 Brigade', 1)
('Anarchio Scene', 1)
('Anarchist Action (CA / United States)', 1)
('Anarchist Anti-Capitalist Action Group', 1)
('Anarchist Attack Consortium', 1)
('Anarchist Cell Acca (C.A.A.)', 1)
('Anarchist Commando Nestor Makhno Group', 1)
('Anarchist Liberation Brigade', 1)
('Anarchist Squad', 1)
('Anarchist Struggle', 1)
('Anarchists Attack Team', 1)
('Anarkista Jorge Banos Front of the Everyone For The Homeland Movement (MTP)', 1)
('Anbar Salvation Council', 1)
('Angels', 1)
('Angolan Defense Force', 1)
('Angry Foxes Cell', 1)
('Aniban ng Ayaw sa Komunista (ANAK)�\xa0', 1)
('Animal Defense League', 1)
('Anonima Sequestri', 1)
('Anonymous Underground Movement (MCA)', 1)
('Ansar al-Din', 1)
('Ansar al-Imam Musa al-Sadr', 1)
('Ansar al-Jihad', 1)
('Ansar Al-Khilafa (Philippines)', 1)
('Ansar Allah', 1)
('Ansar al-Tahwid wal Sunna', 1)
('Ansar Sarallah', 1)
('Ansaru ash-Sharia (Russia)', 1)
('Anti - Election Demonstrators', 1)
('Anti Kurdish Workers Party Iraq nationals', 1)
('Anti Shah of Iran', 1)
('Anti Somoza Gp, name unk', 1)
('Anti-AF', 1)
('Anti-American Arab Liberation Front', 1)
('antiapartheid guerrillas', 1)
('Anti-Apostate Movement Alliance (AGAP)', 1)
('Anti-Bhutto demonstrators', 1)
('Anti-Capitalist Action', 1)
('Anti-Capitalist Brigades', 1)
('Anti-Capitalist Commando', 1)
('Anti-Chon radical elements', 1)
('Anti-Communist Action Alliance', 1)
('Anti-Communist Command (KAK)', 1)
('Anti-Communist rebels', 1)
('Anti-Communist Viets Organization', 1)
('Anti-Communist Vigilante Patrol', 1)
('Anti-Fascist Action', 1)
('Anti-Gentrification Front', 1)
('Anti-government rioters', 1)
('Anti-govt student groups', 1)
('anti-hunting protestors', 1)
('Anti-Imperialist Commando', 1)
('Anti-Imperialist Fighters for a Free Palestine', 1)
('Anti-Imperialist Patriotic Union', 1)
('Anti-Imperialist Students Council', 1)
('Anti-Marxist Commando', 1)
('Anti-Nuclear Society for a Silent Counter-Offensive (ANGST)', 1)
('Anti-Racist Guerrilla Nuclei', 1)
('Anti-Semitists', 1)
('Anti-Soviet protest group', 1)
('Anti-State Proletarian Nuclei', 1)
('Anti-U.S. radicals', 1)
('Antonia Martinez Student Commandos (AMSC)', 1)
('Antonio', 1)
('Anya-Nya II Militia', 1)
('Aqmur', 1)
('Arab Commando Cells', 1)
('Arab Liberation Army', 1)
("Arab People's Group", 1)
('Arab Revenge Organization', 1)
('Arab Revolutionary Front', 1)
('Arab Socialist Baath Party of Iraq', 1)
('Arab Socialist Union Members', 1)
('Arab Steadfastness Front', 1)
('Arab Struggle', 1)
('Arab Unionist Nationalist Organization', 1)
('Arab Youth Group (Militant)', 1)
('Arabian Peninsula Freemen', 1)
('Arakan Army (AA)', 1)
('Arakan Rohingy Islamic Front', 1)
('Arbav Martyrs of Khuzestan', 1)
('Argentina Libre (Free Argentina)', 1)
('Argentine Youths for Sovereignty', 1)
('Ariska Brodraskapet (Aryan Brotherhood)', 1)
('Armed Action Force (FADA)', 1)
('Armed Anti-Imperialist Movement', 1)
('Armed Brigades', 1)
('Armed Commandos for Liberation', 1)
('Armed Commandos of Student Self Defense', 1)
('Armed Communist Commando', 1)
('Armed Communist Front', 1)
('Armed Fight for Workers Power', 1)
('Armed Fighting Nucleus For Communism', 1)
('Armed Forces for a Federal Republic (FARF)', 1)
('Armed Gold Miners', 1)
('Armed Groups for Communism', 1)
('Armed Groups of Organised Proletariat', 1)
('armed guerrillas', 1)
('Armed Islamic Movement', 1)
('Armed Nucleus of Communist Workers', 1)
("Armed People's Units", 1)
('Armed Proletarian Formations', 1)
('Armed Proletarian Group', 1)
('Armed Proletarian Patrols', 1)
('Armed Proletariat Fighting Squad', 1)
('Armed Radical Groups for Communism', 1)
('Armed Revolutionary Groups', 1)
('Armed Struggle Cells', 1)
('Armed Struggle for Proletarian Power', 1)
('Armed Struggle Organization', 1)
('Armed Subversives', 1)
('Armed Vanguards of a Second Mohammed Army', 1)
('Armed Womens Nuclei', 1)
('Armed Workers Nuclei', 1)
('Armenian Organization for Armed Struggle', 1)
('Armenian paramilitary group', 1)
('Armenian Red Army', 1)
('Armenian Revolutionary Army', 1)
('Army of State Liberators', 1)
('Arnoldo Camu Command', 1)
('Artigas Guard Commando', 1)
('Artigas-Giachino Command', 1)
('Ashuar Tribe', 1)
('Association for the Enhancement of the Justice of the Great Japan', 1)
('Association of Mobil Spill Affected Communities (AMSAC)', 1)
('Association of Students and Pupils in Mali (AEEM)', 1)
('Association Totalement Anti-Guerre (ATAG)', 1)
('Asylum Seekers', 1)
('ATALA', 1)
('Attaches', 1)
('Autonomous Anarchist Groups', 1)
('Autonomous Decorators', 1)
('Autonomous Group for Armed Action', 1)
('Autonomous Groups', 1)
('Autonomous Intervention Collective Against the Zionist Presence in France', 1)
('Autonomous Revolutionary Brigade', 1)
('Autonomous Students', 1)
('Autonomy (Greece)', 1)
('Avenge the Arab Nation', 1)
('Avengers of Peiper Group', 1)
('Awdal Regional Administration Army (ARAA)', 1)
('Ayesha bint al-Sadiq Brigade', 1)
('Azadejan (Liberation)', 1)
('Azerbaijan Weapons Smugglers', 1)
("Ba'adi (on my own behalf)", 1)
('Baby Liberation Army', 1)
('Badr Brigades', 1)
('Bahrain Province of the Islamic State', 1)
('Baloch Militant Defense Army', 1)
('Baloch Mussalah Diffah Tanzim (BMDT)', 1)
('Balochistan National Army', 1)
('Bande des Rats (the rat pack) Ukranian Group', 1)
('Bangalee Somo Odhikar Andolon', 1)
('Bangladesh Communist Party', 1)
('Bangladesh National Socialist Party', 1)
('Bangladesh Tiger Force', 1)
('Bangsamoro National Liberation Army', 1)
('Bani Hilal Tribe', 1)
('Bani Jaber tribe', 1)
('Bani Nawaf tribe', 1)
('Banner of Islam', 1)
('Banya Tribe', 1)
('Banyamulenge rebels', 1)
('Barak Valley Tiger Force (BVTF)', 1)
('Barq al-Nasser Brigade', 1)
('Barzani Guerrillas', 1)
("Basic People's Congresses", 1)
('Basque Country Autonomous Self-Defense Group', 1)
('Basque Justice', 1)
('Basque Refugee Support Group', 1)
('BAY Bombers', 1)
('Baya Tribe', 1)
('Begumcans Cell', 1)
('Beli Orlovi (White Eagles)', 1)
('Bengali Sangram Mukti Bahini', 1)
('Bengali Tiger Force (BTF)', 1)
('Berom Militants', 1)
('Bersatu', 1)
('Bharat Zinc Workers', 1)
('Bhisan Himali Bag', 1)
('Bhittani tribe', 1)
('Bhumi Uchched Pratirodh Committee (BUPC)', 1)
("Bihar People's  Party (Hindu militants)", 1)
('Bin Zabyan Tribesmen', 1)
('Bini-Oru', 1)
('Biswabhumi Sena Bishal Nepal', 1)
('Black African Vigilantes', 1)
('Black and Red Anarchist and Anti-Authoritarians Initiative (Greece)', 1)
('Black Brigade (United States)', 1)
('Black Forest Command', 1)
('Black Friday', 1)
('Black Hawks (Anti-Wahhabists)', 1)
('Black Liberation Force', 1)
('Black Malian Group', 1)
('Black Mambas', 1)
('Black Tigers', 1)
('Bloque Anti-Guerrillero de Oriente (BAGO)', 1)
('Blue Archer Group', 1)
('Bodo People’s Front (BPF)', 1)
('Bodyguards of Muslim Warlord Governor Tupay Loong', 1)
('Boer Republikeinse Leer', 1)
('Boer Sentries', 1)
('Bolivarian Army of Liberation', 1)
('Borana bandits', 1)
('Borderless Solidarity Cell (BSC)', 1)
('Boricua Revolutionary Front', 1)
('Bosnian Croats', 1)
('Bosnian refugee', 1)
('Boz-Ok (Grey Arrow)', 1)
('Brazilian Democratic Mobilization Party (PMBD)', 1)
('Breton Terrorist', 1)
('Brigadas Rojas', 1)
('Brigade of al-Mukhtar al-Thaqafi', 1)
('Brigades of Iman Hassan-al-Basri', 1)
('Broad Commando of National Liberation', 1)
('Broad Front', 1)
('Brother Julian', 1)
('Bru Democratic Front of Mizoram (BDFM)', 1)
('Bru National Liberation Front (BNLF)', 1)
('Budget for the Popular Prep or Death', 1)
('Bunda Dia Kongo (BDK)', 1)
('Burmese Minority Group Pirates', 1)
('Burmese refugees', 1)
('BZers', 1)
('Cambodian guerrillas', 1)
('Cambodian Gunmen', 1)
('Cambodian National Front for National Salvation', 1)
('Carribbean Revolutionary Independence Army', 1)
('Casamance Separatists', 1)
('Caspian Group', 1)
('Catalan independence group', 1)
('Catalan Militia', 1)
('Catalonian Resistance', 1)
('Catholic E. Timurese', 1)
('Caucasus Province of the Islamic State', 1)
('Cell for Internationalism', 1)
('Cells for Solidarity Against Authority', 1)
('Census Opponents', 1)
('Central African National Liberation Movement', 1)
('Central American Revolutionary Workers Party (PRTC)', 1)
('Central University students', 1)
('Chakma tribal group', 1)
('Charlot Jacquelin Militant Front', 1)
('Chilean Committee of Support for the Peruvian Revolution', 1)
('Chin National Army', 1)
('Chinese Illegal Immigrant', 1)
('Chinese Mafia', 1)
('Chinese Pirates', 1)
('Chondaehyop (Radical Student Coalition)', 1)
('Chonson Univ. students', 1)
('Christian Group for the Respect for Life', 1)
('Christian Palestinian group', 1)
('Chukakuha Revolutionary Army', 1)
('Citizens Volunteer Force', 1)
('Civic Guard', 1)
('Civic United Front (CUF)', 1)
('Civil Association for Peace in Colombia, Asocipaz', 1)
('Civil Cooperation Bureau', 1)
('Civil Defense Force (CDF)', 1)
('civil guards', 1)
('Civil Servants and Unionists', 1)
('Civilian Defense', 1)
('Civilian Joint Task Force (JTF)', 1)
('Civilians Seeking Revenge', 1)
('Cleansing Hand (La Mano Que Limpia)', 1)
('Coalition of National Brigades', 1)
('Colombian Revolution', 1)
('Colombians', 1)
('Colonel Albert Kahasha Militia', 1)
('Comando Autónomo Voltaire Argandoña', 1)
('Comando Bautista B', 1)
('Comando Independiente Revolucionario', 1)
('Comando Malvinas Argentinas', 1)
('Comando Vermelho (Red Command)', 1)
('Combat Brigades', 1)
('Combat Nucleus of Communist Unity', 1)
('Combatant Communist Front', 1)
('Combatant Nucleus for Communism', 1)
('Combatent Communists', 1)
("Comite de Liberation et de Detournements d'Ordinateurs (Committee for the liberation and hijacking of computers)", 1)
('Command for National Sovereignty', 1)
('Commander Gonzalo Southern Group', 1)
('Commander Luciano Varela Antiguerrilla Group', 1)
('Commando 15th October', 1)
('Commando 27 September', 1)
('Commando Heinz Neumann', 1)
('Commando Internacionalista Simon Bolivar', 1)
('Commandos Against Self Destruction of the Universe', 1)
('Commandos for the Defense of Western Civilization', 1)
('Committee for a National Drive for Peace and Democracy', 1)
('Committee for the Defense of Italian Workers in France', 1)
('Committee for the Elimination of Killer Collaborators', 1)
('Committee for the Safeguard of the Islamic Revolution', 1)
('Committee of action against bull fights', 1)
('Commune 1', 1)
('Communist Anti-Imperialistic Revolutionaries', 1)
('Communist Armed Nucleus', 1)
('Communist Attack Brigades', 1)
('Communist Attack Units', 1)
('Communist Brigade Dante Dimani', 1)
('Communist Brigades', 1)
('Communist Fighters Association', 1)
('Communist Fighters Group', 1)
('Communist Fighting Corunim- Maria Anna Maria', 1)
('Communist Fighting Detachments', 1)
('Communist Fighting Front', 1)
('Communist Guerilla Nuclei', 1)
('Communist Nuclear', 1)
('Communist Nuclei of Counter Power', 1)
('Communist Party of India', 1)
('Communist Territorial Unit', 1)
('Communist Trade Union Workers', 1)
("Communist Warrior's Union", 1)
('Comrades in Arms', 1)
('Comrades Organized in Partisan Nuclei', 1)
('Comuneros', 1)
('Concerned citizens', 1)
('Condor Plan Criminals', 1)
('Confederation of Iranian Students/National Union (CISNU)', 1)
('Congolese Armed Patriotic Group', 1)
('Congolese Liberation Party (PLC)', 1)
('Congolese Rally for Democracy (RCD)', 1)
('Congress of Kabardian People', 1)
('Continuing Struggle', 1)
('Continuous Struggle', 1)
('Convention of Liberal Reformers (CLR)', 1)
('Coordination of Anti-atomic Power Plant Saboteurs', 1)
('Core Conspirators for the Extension of Chaos (Núcleo de Conspiradores por la Extensión de Kaos)', 1)
("Corsican Farmers' Front", 1)
("Costa Rican Peoples' Army (EPC)", 1)
('Council for the Destruction of Order', 1)
('Counterrevolutionary Solidarity (SC)', 1)
('Coup Plotters Against the Government', 1)
('Crazy Brabant Killers', 1)
('Croat Democratic Union', 1)
('Croatian Liberation Army', 1)
('Croatian Militia', 1)
('Croatian Revolutionary Cell-Bruno Busic Dept', 1)
('CSS Movement', 1)
('Cuban C-4 Movement', 1)
('Cuban Secret Army', 1)
('Cubans seeking escape from Cuba', 1)
('Cuncolta Naziunalista', 1)
('Cypriot', 1)
('Dainihon Yokuko Doshikai', 1)
('Danish Neo-Nazi Group', 1)
("David's Sword", 1)
('Dawn Forces', 1)
('Dayak gang', 1)
('Death Squad (Iraq)', 1)
('Death Squad of Organization Zero (Organizacion Cero)', 1)
('Death to Drug Traffickers', 1)
('Death to the Demobilized Militias', 1)
("Defenders of the Nation's Sovereignty", 1)
('Delta Democratic Militia', 1)
('Democratic Iraqi Opposition of Germany', 1)
('Democratic Party', 1)
('Democratic Progressive Party', 1)
('Democratic Union Party (PYD)', 1)
('Demonstration led by French Anti-Nazi Hunters', 1)
('Demonstrators', 1)
('Deniers of Holidays', 1)
('Depositers angered', 1)
('Detonators of Social Uprisings', 1)
('Dev Genc', 1)
('Didier Ratsiraka’s Militia', 1)
('Dignity Command', 1)
('Dima Hasao National Army', 1)
('Dioulas tribal group', 1)
('Diraa al-Shahbaa Rebel Brigade', 1)
('Disgruntled Petroecuador workers', 1)
('Dissident Military Mmbrs of Northern Tribal Group', 1)
('Dissident Republican Guard', 1)
('Dissidents linked to Zanga', 1)
('Diyala Salvation Council', 1)
('Dnester region guerrilas', 1)
('Dnestr Rebels', 1)
('Do-or-Die Corps for the Abolition of Anti-Public Taxation Systems', 1)
('Dukhta-ran-e-Millat', 1)
('Earth Night Action Group', 1)
('East Side Action Committee', 1)
('East Turkistan Liberation Organization', 1)
('Ecology and Antinuclear Revolutionary Party (CRAE)', 1)
('Ecuadorian Communist Youth', 1)
("Ed'daoua Es'salafia Lilqadha", 1)
('Effiat ethnic roup or Jbibio Peoples', 1)
('Egbema National Front', 1)
('Egyptian Revolutionary Organization', 1)
('Egyptians', 1)
('Ejercito Revolucionario Guevarista (Guevarist Revolutionary Army)', 1)
('El Mico Rebel Gray', 1)
('El Movimiento Revolucionario Independinista', 1)
('Elements Police Cobra Squadron', 1)
('El-Feth katibat', 1)
('Elos security firm', 1)
('Emilio Recabarren Commando', 1)
('English Defense League (EDL)', 1)
('Enraged Revolutionaries', 1)
('Environmentalist', 1)
('Epanastatiki Anatropi (Revolutionary Overthrow)', 1)
('Eritrean Salvation Front (ESF)', 1)
('Erotic Anti-authority Cells', 1)
('Ethiopian Dongiro tribesmen', 1)
('Ethnic Russian Separatists', 1)
('Etnocacerista Movement', 1)
('Evangelical Christians', 1)
('Extreme Left', 1)
('Extreme Right Commando Brigade', 1)
('Extreme Right-wing Socialist Phalange', 1)
("Extremist Nat'list Group", 1)
('FACDM', 1)
('Face to Face (Face-a-Face)', 1)
('Faithful Resistance', 1)
('Falange', 1)
('Falangist Security Group', 1)
('Falangist Vanguard', 1)
('Fanatical Ecologists', 1)
('Fanmi Lavalas', 1)
('Faqra Tribal Group', 1)
('Father of the Poor', 1)
('Fatherland', 1)
('Fatherland and Liberty Nationalist Front (FNPL - Frente Nacionalista Patria y Libertad FNPL)', 1)
('February 27 Revolutionary Armed Forces', 1)
('Fedayeen Imam Mahdi', 1)
('Fedayeen of the Imperial Iranian Monarchy', 1)
('Feliciano Argueta Front', 1)
('Fight Against Authority', 1)
('Fighters for the Liberation of the Turkish People', 1)
('Fighters of Democratic Latvia', 1)
('Fighters of the People', 1)
('Fighting Communist Front', 1)
('Fighting Communist Unit', 1)
('Fighting Communists', 1)
('Fighting Ecologist Movement', 1)
('Fighting For Freedom Coalition (FFFC-Ottawa)', 1)
('Fighting Nucleus for Communism', 1)
('Fighting Proletarian Front', 1)
('Fighting Women', 1)
('Fighting Workers for Communism', 1)
('Filipino Communists', 1)
('First Capital Command (PCC)', 1)
('First May Movement', 1)
('Flying Eagles (Vigilante Group)', 1)
('Foibe tribe', 1)
('Forbidden Blockade (Greece)', 1)
('Force Etudiante Critique', 1)
('Forces for the Unification of the Central African Republic (FIRCA)', 1)
('Forces of the Free Arab', 1)
('former "comrades-in-arms"', 1)
('Former Border Policeman', 1)
('Former members Central Investigation Office', 1)
